CARTELERA PROVISORIA - 2025 - 2do cuatrimestre,,,,,,,,
Actividades,Turno,Clase,Día,Inicio,Fin,Pab.,Aula,RA
(CBC)-INT. AL PENSAMIENTO CIENTIFICO (40),,ARROCHE,Viernes,15:00,17:00,2,103,CBC
(CBC)-INT. AL PENSAMIENTO CIENTIFICO (40),,ARROCHE,Viernes,17:00,19:00,2,103,CBC
(CBC)-INT. AL PENSAMIENTO CIENTIFICO (40),,ARROCHE,Viernes,19:00,21:00,2,103,CBC
(CBC)-INT. AL PENSAMIENTO CIENTIFICO (40),,MIGUEL,Viernes,7:00,9:00,2,104,CBC
(CBC)-INT. AL PENSAMIENTO CIENTIFICO (40),,ARROCHE,Viernes,9:00,11:00,2,104,CBC
(CBC)-INT. AL PENSAMIENTO CIENTIFICO (40),,PARUELO,Viernes,11:00,13:00,2,104,CBC
(CBC)-FISICA E INTRODUCCIÓN A LA BIOFISICA (53),,GHIRARDOSI,Viernes,14:00,17:00,2,104,CBC
(CBC)-FISICA E INTRODUCCIÓN A LA BIOFISICA (53),,GHIRARDOSI,Viernes,17:00,20:00,2,104,CBC
(CBC)-PSICOLOGIA,,STASIEJKO,Viernes,7:00,9:00,2,107,CBC
(CBC)-PSICOLOGIA,,STASIEJKO,Viernes,9:00,11:00,2,107,CBC
(CBC)-PSICOLOGIA,,STASIEJKO,Viernes,11:00,13:00,2,107,CBC
(CBC)-FILOSOFIA,,CASTRO,Viernes,13:00,15:00,2,107,CBC
(CBC)-FILOSOFIA,,CASTRO,Viernes,15:00,17:00,2,107,CBC
(CBC)-BIOLOGIA E INTRODUCCIÓN A LA BIOLOGIA CELULAR (54),,TODARO,Viernes,17:00,20:00,2,107,CBC
(CBC)-INT. AL PENSAMIENTO CIENTIFICO (40),,ARROCHE,Viernes,7:00,9:00,2,108,CBC
(CBC)-INT. AL PENSAMIENTO CIENTIFICO (40),,PARUELO,Viernes,11:00,13:00,2,108,CBC
(CBC)-INT. AL PENSAMIENTO CIENTIFICO (40),,PARUELO,Viernes,13:00,15:00,2,108,CBC
(CBC)-INT. AL PENSAMIENTO CIENTIFICO (40),,PARUELO,Viernes,15:00,17:00,2,108,CBC
(CBC)-INT. AL PENSAMIENTO CIENTIFICO (40),,ARROCHE,Viernes,7:00,9:00,2,109,CBC
(CBC)-INT. AL PENSAMIENTO CIENTIFICO (40),,PARUELO,Viernes,9:00,11:00,2,109,CBC
(CBC)-TRABAJO Y SOCIEDAD,,CAGNACCI,Viernes,11:00,13:00,2,109,CBC
(CBC)-INT. AL PENSAMIENTO CIENTIFICO (40),,ARROCHE,Viernes,13:00,15:00,2,109,CBC
(CBC)-INT. AL PENSAMIENTO CIENTIFICO (40),,ARROCHE,Viernes,15:00,17:00,2,109,CBC
(CBC)-INT. AL PENSAMIENTO CIENTIFICO (40),,PARUELO,Viernes,17:00,19:00,2,109,CBC
(CBC)-MATEMATICA 9h (61),,UNICA,Viernes,10:00,13:00,2,110,CBC
(CBC)-FISICA E INTRODUCCIÓN A LA BIOFISICA (53),,SILVA,Viernes,14:00,17:00,2,110,CBC
(CBC)-ALGEBRA (27),,UNICA,Viernes,7:00,10:00,2,111,CBC
(CBC)-ALGEBRA (27),,UNICA,Viernes,10:00,13:00,2,111,CBC
(CBC)-ALGEBRA (27),,UNICA,Viernes,14:00,17:00,2,111,CBC
(CBC)-ALGEBRA (27),,UNICA,Viernes,17:00,20:00,2,111,CBC
(CBC)-ALGEBRA (27),,UNICA,Viernes,7:00,10:00,2,113,CBC
(CBC)-ALGEBRA (27),,UNICA,Viernes,10:00,13:00,2,113,CBC
(CBC)-QUIMICA-(05),,DI RISIO,Viernes,13:00,16:00,2,113,CBC
(CBC)-FISICA-(03),,UNICA,Viernes,17:00,20:00,2,113,CBC
(CBC)-ALGEBRA (27),,UNICA,Viernes,20:00,23:00,2,113,CBC
(CBC)-INT. AL PENSAMIENTO CIENTIFICO (40),,ARROCHE,Viernes,7:00,9:00,2,205,CBC
(CBC)-INT. AL PENSAMIENTO CIENTIFICO (40),,PARUELO,Viernes,9:00,11:00,2,205,CBC
(CBC)-INT. AL PENSAMIENTO CIENTIFICO (40),,MIGUEL,Viernes,11:00,13:00,2,205,CBC
(CBC)-INT. AL PENSAMIENTO CIENTIFICO (40),,ARROCHE,Viernes,13:00,15:00,2,205,CBC
(CBC)-INT. AL PENSAMIENTO CIENTIFICO (40),,PARUELO,Viernes,15:00,17:00,2,205,CBC
(CBC)-INT. AL PENSAMIENTO CIENTIFICO (40),,PARUELO,Viernes,17:00,19:00,2,205,CBC
(CBC)-INT. AL PENSAMIENTO CIENTIFICO (40),,PARUELO,Viernes,19:00,21:00,2,205,CBC
(CBC)-INT. AL PENSAMIENTO CIENTIFICO (40),,PARUELO,Viernes,21:00,23:00,2,205,CBC
(CBC)-ALGEBRA (27),,UNICA,Viernes,10:00,13:00,2,206,CBC
(CBC)-FISICA-(03),,UNICA,Viernes,14:00,17:00,2,206,CBC
(CBC)-MATEMATICA 9h (61),,UNICA,Viernes,17:00,20:00,2,206,CBC
(CBC)-FISICA E INTRODUCCIÓN A LA BIOFISICA (53),,SILVA,Viernes,7:00,10:00,2,208,CBC
(CBC)-FISICA E INTRODUCCIÓN A LA BIOFISICA (53),,SILVA,Viernes,10:00,13:00,2,208,CBC
(CBC)-FISICA E INTRODUCCIÓN A LA BIOFISICA (53),,SILVA,Viernes,14:00,17:00,2,208,CBC
(CBC)-ALGEBRA A (62),,UNICA,Viernes,17:00,20:00,2,208,CBC
(CBC)-ALGEBRA A (62),,UNICA,Viernes,20:00,23:00,2,208,CBC
(CBC)-FILOSOFIA,,CASTRO,Viernes,7:00,9:00,2,210,CBC
(CBC)-ALGEBRA (27),,UNICA,Viernes,10:00,13:00,2,210,CBC
(CBC)-SOCIOLOGIA,,MECCIA,Viernes,17:00,19:00,2,210,CBC
(CBC)-SOCIOLOGIA,,MECCIA,Viernes,19:00,21:00,2,210,CBC
(CBC)-FILOSOFIA,,CASTRO,Viernes,7:00,9:00,2,211,CBC
(CBC)-FILOSOFIA,,GONZALEZ A.,Viernes,9:00,11:00,2,211,CBC
(CBC)-FILOSOFIA,,CASTRO,Viernes,11:00,13:00,2,211,CBC
(CBC)-QUIMICA-(05),,DI RISIO,Viernes,17:00,20:00,2,211,CBC
(CBC)-QUIMICA-(05),,DI RISIO,Viernes,7:00,10:00,2,213,CBC
(CBC)-QUIMICA-(05),,DI RISIO,Viernes,10:00,13:00,2,213,CBC
(CBC)-FISICA-(03),,UNICA,Viernes,14:00,17:00,2,213,CBC
(CBC)-FISICA-(03),,UNICA,Viernes,17:00,20:00,2,213,CBC
(CBC)-QUIMICA-(05),,DI RISIO,Viernes,20:00,23:00,2,213,CBC
(CBC)-FISICA E INTRODUCCIÓN A LA BIOFISICA (53),,GHIRARDOSI,Viernes,7:00,10:00,2,214,CBC
(CBC)-FISICA E INTRODUCCIÓN A LA BIOFISICA (53),,GHIRARDOSI,Viernes,10:00,13:00,2,214,CBC
(CBC)-FISICA-(03),,UNICA,Viernes,14:00,17:00,2,214,CBC
(CBC)-FISICA-(03),,UNICA,Viernes,17:00,20:00,2,214,CBC
(CBC)-FISICA-(03),,UNICA,Viernes,20:00,23:00,2,214,CBC
