CARTELERA PROVISORIA - 2025 - 2do cuatrimestre,,,,,,,,,,
Actividades,Turno,Clase,Día,Inicio,Fin,Pab.,Aula,RA,DOCENTE,
Ingeniería Genética-Ingeniería Genética y Biología de Sistemas Moleculares,,Teórico-Práctico,Miércoles,18:00,22:00,2,112,FBMC,Colman,2º cuatrimestre de 2025
Teoría de Juegos (DC) 2024-Tópicos de Teoría de Juegos,,Teórico-Práctico,Miércoles,14:30,19:00,2,113,DC,Arbiser,2º cuatrimestre de 2025
Instrumentos y Métodos de Observación Oceanográficos,,Teórico-Práctico,Miércoles,8:00,13:00,2,114,DCAO,Danieli/Cornejo,2º cuatrimestre de 2025
Ecología de Regiones y Paisajes-Fundamentos de la Ecología de Paisajes y Regiones,,Teórico,Miércoles,14:00,16:00,2,114,EGE,Cavia,2º cuatrimestre de 2025
Didáctica Especial y Práctica de la Enseñanza II,,Teórico-Práctico,Miércoles,17:00,21:00,2,114,CCPEMS,Ithuralde,2º cuatrimestre de 2025
Sistemática de Plantas Vasculares-Tópicos en Sistemática de Plantas Vasculares,,Teórico,Miércoles,15:00,17:00,2,115,BBE,Iannone,2º cuatrimestre de 2025
Química de Alimentos,,Teórico-Práctico,Miércoles,17:00,20:00,2,115,DCAO,Campos,2º cuatrimestre de 2025
Paleo y Neoclima,,Teórico-Práctico,Miércoles,8:00,10:00,2,116,DCAO,Doyle,2º cuatrimestre de 2025
Física 3,,Teórico-Práctico,Miércoles,10:00,15:00,2,116,DF,Bejarano,2º cuatrimestre de 2025
Paleobiología,,Práctica,Miércoles,15:00,20:00,2,116,EGE,Laprida,2º cuatrimestre de 2025
Didáctica Especial y Práctica de la Enseñanza I-Didáctica de las Ciencias Naturales,,Teórico-Práctico,Miércoles,14:00,20:00,2,117,CCPEMS,Aduriz,2º cuatrimestre de 2025
QUIMICA (CBC) DI RISSIO,,,Miércoles,7:00,16:00,2,207,,,
Complejidad Computacional-Lógica y Computabilidad/Teoría de la Complejidad Computacional,,Teórico-Práctico,Miércoles,17:00,22:00,2,207,DC,Abriola,2º cuatrimestre de 2025
Concurso DBBE,8/10/2025,,Miércoles,13:00,16:00,2,212,,,
Concurso DBBE,15/10/2025,,Miércoles,9:00,16:00,2,212,,,
Ecología de Poblaciones-Tópicos Avanzados en Ecología de Poblaciones,,PC,Miércoles,9:00,14:00,2,Sala A,EGE,Cardinal,2º cuatrimestre de 2025
Limnología ,01/10/2025,,Miércoles,14:00,17:00,2,Sala A,EGE,,4º bimestre
Ecología de Regiones y Paisajes-Fundamentos de la Ecología de Paisajes y Regiones,,PC,Miércoles,17:00,21:00,2,Sala A,EGE,Torrella,2º cuatrimestre de 2025
Paleo y Neoclima,,PC,Miércoles,10:00,13:00,2,Sala B,DCAO,Blanco,2º cuatrimestre de 2025
Introducción a la Ingeniería de Costas,,PC,Miércoles,14:00,18:00,2,Sala B,DCAO,Alonso/Salimberti,2º cuatrimestre de 2025
Ingeniería Genética-Ingeniería Genética y Biología de Sistemas Moleculares,,PC,Miércoles,18:00,22:00,2,Sala B,FBMC,,
Inmunometabolismo: Principios básicos (Pèrez Leiros),01/10/2025-08/10/2025,,Miércoles,9:00,17:00,2,SEMINARIO,,,
Nomenclatura Zoológica,06/11/2025-12/11/2025,,Miércoles,9:00,17:30,2,SEMINARIO,,,
SEMANA DE LA QUIMICA,24/9/2025,,miércoles,9:00,15:00,2,Magna,,,
Congreso Cierre DOV,05/11/2025,,Miércoles,9:00,13:00,2,Magna,,,
Ecología General,,Teórico,Miércoles,15:00,17:30,2,Magna,EGE,Busch,2º cuatrimestre de 2025
Introducción a la Botánica-Biodiversidad de Vegetales,,Teórico,Miércoles,18:00,21:00,2,Magna,BBE,Baroli,2º cuatrimestre de 2025
(CBC)-QUIMICA-(05),,DI RISIO,Miércoles,10:00,13:00,2,101,CBC,,
(CBC)-INT. AL PENSAMIENTO CIENTIFICO (40),,PARUELO,Miércoles,13:00,15:00,2,101,CBC,,
(CBC)-INT. AL PENSAMIENTO CIENTIFICO (40),,ARROCHE,Miércoles,15:00,17:00,2,101,CBC,,
(CBC)-FISICA E INTRODUCCIÓN A LA BIOFISICA (53),,SILVA,Miércoles,7:00,10:00,2,102,CBC,,
(CBC)-FISICA E INTRODUCCIÓN A LA BIOFISICA (53),,GHIRARDOSI,Miércoles,10:00,13:00,2,102,CBC,,
(CBC)-INT. AL PENSAMIENTO CIENTIFICO (40),,PARUELO,Miércoles,13:00,15:00,2,102,CBC,,
(CBC)-INT. AL PENSAMIENTO CIENTIFICO (40),,PARUELO,Miércoles,15:00,17:00,2,102,CBC,,
(CBC)-FISICA E INTRODUCCIÓN A LA BIOFISICA (53),,GHIRARDOSI,Miércoles,7:00,10:00,2,103,CBC,,
(CBC)-FILOSOFIA,,CASTRO,Miércoles,13:00,15:00,2,103,CBC,,
(CBC)-FILOSOFIA,,GONZALEZ A.,Miércoles,15:00,17:00,2,103,CBC,,
(CBC)-FILOSOFIA,,CASTRO,Miércoles,19:00,21:00,2,103,CBC,,
(CBC)-FILOSOFIA,,GONZALEZ A.,Miércoles,21:00,23:00,2,103,CBC,,
(CBC)-QUIMICA-(05),,DI RISIO,Miércoles,7:00,10:00,2,104,CBC,,
(CBC)-QUIMICA-(05),,DI RISIO,Miércoles,10:00,13:00,2,104,CBC,,
(CBC)-QUIMICA-(05),,DI RISIO,Miércoles,7:00,10:00,2,107,CBC,,
(CBC)-QUIMICA-(05),,DI RISIO,Miércoles,10:00,13:00,2,107,CBC,,
(CBC)-QUIMICA-(05),,DI RISIO,Miércoles,13:00,16:00,2,107,CBC,,
(CBC)-SOCIOLOGIA,,GAMALLO,Miércoles,7:00,9:00,2,108,CBC,,
(CBC)-SOCIOLOGIA,,GAMALLO,Miércoles,9:00,11:00,2,108,CBC,,
(CBC)-INT. AL PENSAMIENTO CIENTIFICO (40),,ARROCHE,Miércoles,11:00,13:00,2,108,CBC,,
(CBC)-FISICA E INTRODUCCIÓN A LA BIOFISICA (53),,GHIRARDOSI,Miércoles,7:00,10:00,2,109,CBC,,
(CBC)-FISICA E INTRODUCCIÓN A LA BIOFISICA (53),,GHIRARDOSI,Miércoles,10:00,13:00,2,109,CBC,,
(CBC)-MATEMATICA 9h (61),,UNICA,Miércoles,10:00,13:00,2,110,CBC,,
(CBC)-FILOSOFIA,,CASTRO,Miércoles,13:00,15:00,2,110,CBC,,
(CBC)-ALGEBRA (27),,UNICA,Miércoles,7:00,10:00,2,111,CBC,,
(CBC)-ALGEBRA (27),,UNICA,Miércoles,10:00,13:00,2,111,CBC,,
